,,Visual Properties,,,,,Labels,,,Graph Metrics,Do Not Edit,,Other Columns,,,,,,,,,,,,,
Vertex 1,Vertex 2,Color,Width,Style,Opacity,Visibility,Label,Label Text Color,Label Font Size,Reciprocated?,ID,Dynamic Filter,Add Your Own Columns Here,Relationship,Relationship Date (UTC),Tweet,URLs in Tweet,Domains in Tweet,Hashtags in Tweet,Tweet Date (UTC),Twitter Page for Tweet,Latitude,Longitude,Imported ID,In-Reply-To Tweet ID,Edge Weight
kevinmock,flotus,,,,,,,,,,21,,,Mentions,4/30/2019 15:57,RT @FLOTUS: It was wonderful to visit the Washington Monument and US National Arboretum with Mrs. Abe on Saturday! Cc: @Natlparkservice @US…,,,,4/30/2019 15:57,https://twitter.com/#!/kevinmock/status/1123255173911126018,,,1123255173911126018,,1
mikebdisupe,wearegolf,,,,,,,,,,22,,,Mentions,4/30/2019 15:58,@GCSAA @NatlParkService @ASGCA @MetGCSA @wearegolf Counting trees?,,,,4/30/2019 15:58,https://twitter.com/#!/mikebdisupe/status/1123255384620318720,,,1123255384620318720,1123250185637908480,1
mikebdisupe,metgcsa,,,,,,,,,,23,,,Mentions,4/30/2019 15:58,@GCSAA @NatlParkService @ASGCA @MetGCSA @wearegolf Counting trees?,,,,4/30/2019 15:58,https://twitter.com/#!/mikebdisupe/status/1123255384620318720,,,1123255384620318720,1123250185637908480,1
mikebdisupe,asgca,,,,,,,,,,24,,,Mentions,4/30/2019 15:58,@GCSAA @NatlParkService @ASGCA @MetGCSA @wearegolf Counting trees?,,,,4/30/2019 15:58,https://twitter.com/#!/mikebdisupe/status/1123255384620318720,,,1123255384620318720,1123250185637908480,1
mikebdisupe,natlparkservice,,,,,,,,,,25,,,Mentions,4/30/2019 15:58,@GCSAA @NatlParkService @ASGCA @MetGCSA @wearegolf Counting trees?,,,,4/30/2019 15:58,https://twitter.com/#!/mikebdisupe/status/1123255384620318720,,,1123255384620318720,1123250185637908480,1
mikebdisupe,gcsaa,,,,,,,,,,26,,,Replies to,4/30/2019 15:58,@GCSAA @NatlParkService @ASGCA @MetGCSA @wearegolf Counting trees?,,,,4/30/2019 15:58,https://twitter.com/#!/mikebdisupe/status/1123255384620318720,,,1123255384620318720,1123250185637908480,1
larryas89,us,,,,,,,,,,27,,,Mentions,4/30/2019 16:00,RT @FLOTUS: It was wonderful to visit the Washington Monument and US National Arboretum with Mrs. Abe on Saturday! Cc: @Natlparkservice @US…,,,,4/30/2019 16:00,https://twitter.com/#!/larryas89/status/1123255837265412096,,,1123255837265412096,,1
larryas89,natlparkservice,,,,,,,,,,28,,,Mentions,4/30/2019 16:00,RT @FLOTUS: It was wonderful to visit the Washington Monument and US National Arboretum with Mrs. Abe on Saturday! Cc: @Natlparkservice @US…,,,,4/30/2019 16:00,https://twitter.com/#!/larryas89/status/1123255837265412096,,,1123255837265412096,,1
larryas89,flotus,,,,,,,,,,29,,,Mentions,4/30/2019 16:00,RT @FLOTUS: It was wonderful to visit the Washington Monument and US National Arboretum with Mrs. Abe on Saturday! Cc: @Natlparkservice @US…,,,,4/30/2019 16:00,https://twitter.com/#!/larryas89/status/1123255837265412096,,,1123255837265412096,,1
stavrositu_jacq,us,,,,,,,,,,30,,,Mentions,4/30/2019 16:02,RT @FLOTUS: It was wonderful to visit the Washington Monument and US National Arboretum with Mrs. Abe on Saturday! Cc: @Natlparkservice @US…,,,,4/30/2019 16:02,https://twitter.com/#!/stavrositu_jacq/status/1123256422630924288,,,1123256422630924288,,1
stavrositu_jacq,natlparkservice,,,,,,,,,,31,,,Mentions,4/30/2019 16:02,RT @FLOTUS: It was wonderful to visit the Washington Monument and US National Arboretum with Mrs. Abe on Saturday! Cc: @Natlparkservice @US…,,,,4/30/2019 16:02,https://twitter.com/#!/stavrositu_jacq/status/1123256422630924288,,,1123256422630924288,,1
stavrositu_jacq,flotus,,,,,,,,,,32,,,Mentions,4/30/2019 16:02,RT @FLOTUS: It was wonderful to visit the Washington Monument and US National Arboretum with Mrs. Abe on Saturday! Cc: @Natlparkservice @US…,,,,4/30/2019 16:02,https://twitter.com/#!/stavrositu_jacq/status/1123256422630924288,,,1123256422630924288,,1
goodall_rose38,whitehouse,,,,,,,,,,33,,,Mentions,4/30/2019 16:03,"RT @FLOTUS: Enjoyed showing Mrs. Abe the Washington Monument, US National Arboretum &amp; of course the @WhiteHouse today. Thank you to @Natlpa…",,,,4/30/2019 16:03,https://twitter.com/#!/goodall_rose38/status/1123256457250705408,,,1123256457250705408,,1
goodall_rose38,flotus,,,,,,,,,,34,,,Mentions,4/30/2019 16:03,"RT @FLOTUS: Enjoyed showing Mrs. Abe the Washington Monument, US National Arboretum &amp; of course the @WhiteHouse today. Thank you to @Natlpa…",,,,4/30/2019 16:03,https://twitter.com/#!/goodall_rose38/status/1123256457250705408,,,1123256457250705408,,1
potusgop,flotus,,,,,,,,,,35,,,Mentions,4/30/2019 16:06,"Melania Trump @FLOTUS
It was wonderful to visit the Washington Monument &amp; US National Arboretum with Mrs. Abe on Sa… https://t.co/KFsJ5GifQA",https://twitter.com/i/web/status/1123257249088983040,twitter.com,,4/30/2019 16:06,https://twitter.com/#!/potusgop/status/1123257249088983040,,,1123257249088983040,,1
smurfaccount654,natlparkservice,,,,,,,,,,36,,,Mentions,4/30/2019 16:07,RT @barefootboomer: Maybe a @NatlParkService guide spending 90% of a 45 minute discussion on a battle talking about how awesome the Confede…,,,,4/30/2019 16:07,https://twitter.com/#!/smurfaccount654/status/1123257455293550593,,,1123257455293550593,,1
smurfaccount654,barefootboomer,,,,,,,,,,37,,,Mentions,4/30/2019 16:07,RT @barefootboomer: Maybe a @NatlParkService guide spending 90% of a 45 minute discussion on a battle talking about how awesome the Confede…,,,,4/30/2019 16:07,https://twitter.com/#!/smurfaccount654/status/1123257455293550593,,,1123257455293550593,,1
rebelscumtr8r,natlparkservice,,,,,,,,,,38,,,Mentions,4/30/2019 16:13,@RepDonBeyer @NatlParkService Do they even have funding/staff??,,,,4/30/2019 16:13,https://twitter.com/#!/rebelscumtr8r/status/1123259110470881282,,,1123259110470881282,1123258884196569090,1
rebelscumtr8r,repdonbeyer,,,,,,,,,,39,,,Replies to,4/30/2019 16:13,@RepDonBeyer @NatlParkService Do they even have funding/staff??,,,,4/30/2019 16:13,https://twitter.com/#!/rebelscumtr8r/status/1123259110470881282,,,1123259110470881282,1123258884196569090,1
_realsasquatch,us,,,,,,,,,,40,,,Mentions,4/30/2019 16:13,RT @FLOTUS: It was wonderful to visit the Washington Monument and US National Arboretum with Mrs. Abe on Saturday! Cc: @Natlparkservice @US…,,,,4/30/2019 16:13,https://twitter.com/#!/_realsasquatch/status/1123259200111616000,,,1123259200111616000,,1
_realsasquatch,natlparkservice,,,,,,,,,,41,,,Mentions,4/30/2019 16:13,RT @FLOTUS: It was wonderful to visit the Washington Monument and US National Arboretum with Mrs. Abe on Saturday! Cc: @Natlparkservice @US…,,,,4/30/2019 16:13,https://twitter.com/#!/_realsasquatch/status/1123259200111616000,,,1123259200111616000,,1
_realsasquatch,flotus,,,,,,,,,,42,,,Mentions,4/30/2019 16:13,RT @FLOTUS: It was wonderful to visit the Washington Monument and US National Arboretum with Mrs. Abe on Saturday! Cc: @Natlparkservice @US…,,,,4/30/2019 16:13,https://twitter.com/#!/_realsasquatch/status/1123259200111616000,,,1123259200111616000,,1
barefootboomer,natlparkservice,,,,,,,,,,43,,,Mentions,4/30/2019 16:00,Maybe a @NatlParkService guide spending 90% of a 45 minute discussion on a battle talking about how awesome the Con… https://t.co/d40w04xVx9,https://twitter.com/i/web/status/1123255794567450625,twitter.com,,4/30/2019 16:00,https://twitter.com/#!/barefootboomer/status/1123255794567450625,,,1123255794567450625,1123253994552537089,1
pecunium,barefootboomer,,,,,,,,,,44,,,Mentions,4/30/2019 16:14,RT @barefootboomer: Maybe a @NatlParkService guide spending 90% of a 45 minute discussion on a battle talking about how awesome the Confede…,,,,4/30/2019 16:14,https://twitter.com/#!/pecunium/status/1123259234806837248,,,1123259234806837248,,1
pecunium,natlparkservice,,,,,,,,,,45,,,Mentions,4/30/2019 16:14,RT @barefootboomer: Maybe a @NatlParkService guide spending 90% of a 45 minute discussion on a battle talking about how awesome the Confede…,,,,4/30/2019 16:14,https://twitter.com/#!/pecunium/status/1123259234806837248,,,1123259234806837248,,1
mariael71986636,us,,,,,,,,,,46,,,Mentions,4/30/2019 16:15,RT @FLOTUS: It was wonderful to visit the Washington Monument and US National Arboretum with Mrs. Abe on Saturday! Cc: @Natlparkservice @US…,,,,4/30/2019 16:15,https://twitter.com/#!/mariael71986636/status/1123259708016558081,,,1123259708016558081,,1
mariael71986636,natlparkservice,,,,,,,,,,47,,,Mentions,4/30/2019 16:15,RT @FLOTUS: It was wonderful to visit the Washington Monument and US National Arboretum with Mrs. Abe on Saturday! Cc: @Natlparkservice @US…,,,,4/30/2019 16:15,https://twitter.com/#!/mariael71986636/status/1123259708016558081,,,1123259708016558081,,1
mariael71986636,flotus,,,,,,,,,,48,,,Mentions,4/30/2019 16:15,RT @FLOTUS: It was wonderful to visit the Washington Monument and US National Arboretum with Mrs. Abe on Saturday! Cc: @Natlparkservice @US…,,,,4/30/2019 16:15,https://twitter.com/#!/mariael71986636/status/1123259708016558081,,,1123259708016558081,,1
09254042106myi1,whitehouse,,,,,,,,,,49,,,Mentions,4/30/2019 16:17,@FLOTUS @NatlParkService @USDA_ARS @WhiteHouse It's intresting and attrative.,,,,4/30/2019 16:17,https://twitter.com/#!/09254042106myi1/status/1123259982680510464,,,1123259982680510464,1122880769347719169,1
09254042106myi1,usda_ars,,,,,,,,,,50,,,Mentions,4/30/2019 16:17,@FLOTUS @NatlParkService @USDA_ARS @WhiteHouse It's intresting and attrative.,,,,4/30/2019 16:17,https://twitter.com/#!/09254042106myi1/status/1123259982680510464,,,1123259982680510464,1122880769347719169,1
09254042106myi1,natlparkservice,,,,,,,,,,51,,,Mentions,4/30/2019 16:17,@FLOTUS @NatlParkService @USDA_ARS @WhiteHouse It's intresting and attrative.,,,,4/30/2019 16:17,https://twitter.com/#!/09254042106myi1/status/1123259982680510464,,,1123259982680510464,1122880769347719169,1
09254042106myi1,flotus,,,,,,,,,,52,,,Replies to,4/30/2019 16:17,@FLOTUS @NatlParkService @USDA_ARS @WhiteHouse It's intresting and attrative.,,,,4/30/2019 16:17,https://twitter.com/#!/09254042106myi1/status/1123259982680510464,,,1123259982680510464,1122880769347719169,1
deborahfales1,us,,,,,,,,,,53,,,Mentions,4/30/2019 16:21,RT @FLOTUS: It was wonderful to visit the Washington Monument and US National Arboretum with Mrs. Abe on Saturday! Cc: @Natlparkservice @US…,,,,4/30/2019 16:21,https://twitter.com/#!/deborahfales1/status/1123261038298841090,,,1123261038298841090,,1
